userName,score,content,at,intent
Added Turmudzi,5,mantap semoga saya bisa melihat info lengkap tentang istri yang baik dan benar dapat digunakan sebagai bahan hiburan 👍👍👍,2026-02-18 02:42:01,Account Issue
alief Prayuda,1,"tiktok skrg baperan, dikit2 pelanggaran, padahal aplikasi ini sdh bagus, tapi jgn terlalu banyak pelanggaran",2026-02-18 02:37:43,Praise & Gratitude
Slamet Haryono,5,belanja lebih mudah di tik-tok sambil scroll video pendek,2026-02-18 02:37:05,Feature Complaint/Request
Ridobae Ridobae,5,bagus,2026-02-18 02:25:40,Praise & Gratitude
ardinata hariwibawa,5,minimal 0 pengikut udh bisa live lah,2026-02-18 02:24:01,Unlabeled/Noise
chelsyieeoktaviaaputrii,1,tiktok nampilkan video seram-seram dimalam hari dan saya takut. rating 1 buat tiktok,2026-02-18 02:16:40,Unlabeled/Noise
Dilapye Troyard,3,lumayan,2026-02-18 02:14:33,Unlabeled/Noise
Lakas Kasat,1,burik kg bisa isi link bio trus komen ilang,2026-02-18 02:11:46,Feature Complaint/Request
wiratmoko 1986,5,everything is running smoothly after the update,2026-02-18 02:11:45,Feature Complaint/Request
Wahyunurtriawan11,5,mantap,2026-02-18 02:06:45,Praise & Gratitude
Salman Alfarisi,5,bagus sangat menyenangkan,2026-02-18 01:56:57,Praise & Gratitude
Pendatang Baru,5,"Di beberapa perangkat hanya bisa mendownload tidak dapat mmenginstall dan selalu gagal mengistall, mohonnbantuannyanagar dapat mengunakan kembali",2026-02-18 01:51:01,Unlabeled/Noise
Yusuf Syahputra,5,cukup mendukung,2026-02-18 01:50:53,Unlabeled/Noise
Alya Hany lestari,1,"event 100 p, sumpah bikin orang cape",2026-02-18 01:44:08,Monetization/Earning
bintang arkah,1,JARINGAN FULL BUKA APK LAIN BISA LANCAR JAYA. GILIRAN BUKA TIKTOK GABISA. BENCI TIKTOK BOIKOT TIKTOK,2026-02-18 01:43:17,Account Issue
Daffa Rifki,2,"Mohon Maaf Min, Ini Semenjak Saya Update Tiktok Nya Agak Ngeleg Gitu Kalau Di Gunakan, Tolong Di Perbaiki Lagi Min 🙏🏻",2026-02-18 01:38:25,Performance Issue
awan aji,5,bagus,2026-02-18 01:30:18,Praise & Gratitude
maula cans,1,"kalo ga di urus aju banding yang kena pelanggaran pembatasan usia ga di urus napa ada program aju bandinh gua tanya?bilangnya 24jam kerja tapi sampe sekarang ga kerja"" lu,kalo misalnya emang ga bisa aju banding ya jangan ada program aju banding kocakk",2026-02-18 01:29:26,Unlabeled/Noise
A. Zulkarnain Ali,5,ok,2026-02-18 01:27:39,Unlabeled/Noise
Hadi Maulidilham,5,ok,2026-02-18 01:24:31,Unlabeled/Noise
Home Garage,1,"ini aplikasi arah suka keluar sendiri,,,padah hp ram besar,,,MENDING DI HAPUS GK USAH DI DOWNLOAD",2026-02-18 01:24:29,Technical Bug/Crash
kinara Fiorenza,1,"jujur di saya ga ada masalah apa apa sama aplikasi dan fitur fiturnya, semua lancar bagus dan ga ada bug selama saya mendownload tiktok, tapi yang bikin saya malas membuka apk ini tuh makin banyak short drama barat yang terlalu seksual dan vulgar, yang saya heran kenapa sering sekali muncul di beranda saya, saya udah laporkan video tersebut sudah saya pilih opsi tidak tertarik tapi semakin lama semakin banyak dan semakin vulgar lagi video yang muncul, tolong dong di perhatikan kebijakannya",2026-02-18 01:17:10,Technical Bug/Crash
Nisa anak mama,1,"fitur bagus bagus di aku gaada, giliran yang jelek aja banyak. kek potongan harga (Rp.100) aneh. pilih kasih ih",2026-02-18 01:13:26,Feature Complaint/Request
KANNN ROEKAN,5,bagus,2026-02-18 01:10:35,Praise & Gratitude
Zabrik Bocil epep19,5,kenapa ya pas saya mau posting video kaga bisa di lihat orang lain tolong yak,2026-02-18 01:09:46,General Request/Complaint
Sugandhi Gandhi,4,"kenapa akun saya sering macet dari keluar sendiri, baru-baru ini kenapa akun saya tidak bisa ikut naik Komal dan tidak pernah dapat hadiah dari GB. tolong di perbaiki ya terima kasih",2026-02-18 01:08:32,Technical Bug/Crash
KOBRA 1233,5,apk tik tok suruh aku kaya,2026-02-18 01:05:02,Unlabeled/Noise
Putri Yasmin,1,"aneh bgt akun gw yang satu tiba-tiba ilang yg satu tiba' rusak, gmna sih tik tok ini",2026-02-18 01:02:30,Account Issue
Asixs Familly,1,"view dikit, banyak sering kena pelanggaran, itu knp, gak ngapa2in kena pl... aneh, di perbaiki lah...",2026-02-18 01:01:32,General Request/Complaint
Raka,1,"knapa setiap kluar apl mau masuk lgi GK bisa,,tolong di perbaiki",2026-02-18 01:00:18,Account Issue
Dua Putra,5,"aplikasi ini sangat berguna dan membantu,tapi kenapa kok sering ada yg kurang jelas di peraturan"" nya,apa saya yg gagal faham ya,tau ah.pokoknya mantap,terima kasih",2026-02-18 00:59:01,Praise & Gratitude
Mapul 5821,5,ga bisa di main,2026-02-18 00:56:23,Unlabeled/Noise
Shadiq,1,TAMBAHKAN FITUR NYIMPEN FOTO DI CHAT TIKTOK MIN,2026-02-18 00:49:11,Feature Complaint/Request
Asmuni As,5,boleh boleh gayanya ini,2026-02-18 00:49:06,Unlabeled/Noise
Kota Langsa,3,bagus,2026-02-18 00:48:28,Praise & Gratitude
Oppo Hitam,3,kenapa akun tiktok saya sekarang tidak bisa menggunakan tiktok shop padahal saya tidak pernah melanggar aturan dan alasan nya karena usia padahal usia saya udah lewat dari 18 tahun,2026-02-18 00:44:25,Account Issue
angel lika,5,TOLONG DONG ADAIN PIN CHAT LAGI😭🙏🏻,2026-02-18 00:38:54,Performance Issue
Yosua Dipo,5,penghibur yg setia🤩🤩🤩🤩🤩,2026-02-18 00:37:47,Unlabeled/Noise
Pitrah Botbanget,5,puwenak ngilang i gsbut,2026-02-18 00:35:53,Unlabeled/Noise
Fitri Ramadhani,2,bagus sih cuman sekarang ada kesalahan gatau kenapa padahal wifinya ga ngelag gabisa nengok komen dan video private,2026-02-18 00:34:01,Performance Issue
Dava ramdani Ramdani ar,5,pokonyh mantap,2026-02-18 00:29:36,Praise & Gratitude
Susanti Susanti,2,template hilang musik nya juga berkurang punya ku doang apa yang lain juga?,2026-02-18 00:24:00,Unlabeled/Noise
rizal Umami,5,Sangat bagus dan bermanfaat,2026-02-18 00:17:44,Praise & Gratitude
"zut,me",3,"kasih filtur privasi setatus yang bisa memilih 1 akun atau lebih, jgn filtur privasi yang hanya teman yang bisa melihat",2026-02-18 00:17:37,Account Issue
Agus Madiun,5,"ni aplikasi bagus tapi tolong lah kalau nge kompres video jangan terlalu banyak dari yang awalnya hd 2K 60fps jadi 480p 30fps itu udah parah banget buriknya, alhasil jadi gak mood mau bikin konten lagi",2026-02-18 00:14:32,Performance Issue
Teguh Perkasa,3,mohon diperbaiki karna sering keluar tiba2 ketika sedang live🙏🙏🙏,2026-02-18 00:14:11,General Request/Complaint
Ulul Faris,5,bagus,2026-02-18 00:05:40,Praise & Gratitude
Yus Yos,1,setelah update ko stiap nonton vidio selalu ngelag. dikira jaringan wifi gua gangguan. tpi baca komen dll bisa. vidionya aja ngelag. soalnya bukan skali 2x. stiap lgi scroll dan ada vidio yg kita tonton kadang ngelag !,2026-02-18 00:05:39,Performance Issue
Hoiril Sahbilly Siregar,5,baguss buatt hiburan sayaaa biarr engakk bosenn dann buatt galau jugaa bisaaa,2026-02-18 00:00:56,Praise & Gratitude
Satria Ramadhan,5,apk sangat bgus tpi knp akunku pay latter nya g bs d buka kemarin masalah ny aq salah ketik dana juga gk balik mu bayar gak bs tolong saya,2026-02-18 00:00:53,Account Issue
siti mariyam,5,ok,2026-02-17 23:58:44,Unlabeled/Noise
Izam Purnawan,1,"Bisa""nya iklan Judi Online bisa masuk apk tetrend gini masih bisa dirayu iklan slot judi online",2026-02-17 23:58:40,Account Issue
Derilia,5,sangat bagus untuk orang berapresiasi dan berkreasi dengan fitur fitur yang sangat membantu dan bisa menghasilkan uang jutaan rupiah. semogah ke depan nya lebih baik lagi dan bisa jadi no satu aplikasi penghasilan uang.,2026-02-17 23:56:11,Performance Issue
Mas Den,5,mudah digunakan,2026-02-17 23:52:03,Unlabeled/Noise
Ridwan Ihwan,1,"tiktok 2026 makin gak jelas, jualan nampilkan barang masih aja kena pl,dan pnonton jdi sepi klo sdah kna pl",2026-02-17 23:50:08,Unlabeled/Noise
Catur Kurniawan,5,bagussss,2026-02-17 23:49:32,Praise & Gratitude
MLWEW,1,aplikasi isinya 99% iklan,2026-02-17 23:45:25,Unlabeled/Noise
Cocol doang,5,bagus,2026-02-17 23:41:44,Praise & Gratitude
Sunar Sunar,3,sering kena batas usia gk bisa di buat DM tolong dong tiktok,2026-02-17 23:41:28,General Request/Complaint
Muhammad Fajar,1,"makin lama makin engga jelas akun udh masuk terus keluar lgiii hadeuh lama""gua beli nih tiktok",2026-02-17 23:41:27,Account Issue
FIFRIAN SYAH EDY,5,luar biasa,2026-02-17 23:40:21,Unlabeled/Noise
Maulana Ilham,1,"jadi ga bisa Download apk nya sebelum nya bisa,tapi ini tiba' gabisa",2026-02-17 23:39:12,Unlabeled/Noise
Alenta Nda,1,sedih bgt gabisa kirim pesan dan nerima pesan karna batasan usia padahal gasengaja nyebut umur yang cuman bercanda aja tadinya,2026-02-17 23:35:41,Unlabeled/Noise
Tiara Qilaa,5,aplikasi nya sdh bagus tpi makin lama makin lelet di pakai,2026-02-17 23:32:57,Performance Issue
Mega Truck,1,aplikasi nya mohon diperbaiki lagi banyak bug kadang macet ngecrash parah sangat berat,2026-02-17 23:32:57,Technical Bug/Crash
Rofik Gunawirawan,5,mantep 👍👍,2026-02-17 23:31:04,Unlabeled/Noise
Meky Akse,5,sangat untung,2026-02-17 23:29:11,Unlabeled/Noise
FaraQueen,5,Good app. Bisa dapatkan penghasilan dari aplikasi ini.,2026-02-17 23:28:55,Unlabeled/Noise
andi ganzz,5,minn kok tiktok shop aku gada koin potongan harga,2026-02-17 23:28:27,Feature Complaint/Request
Maryahh 123,5,sangat bagus,2026-02-17 23:25:10,Praise & Gratitude
Andayani Affandi,5,nice,2026-02-17 23:22:59,Unlabeled/Noise
Noval Maulana,1,"saya kasih bintang satu karena akun saya tiba-tiba kena ban permanen, padahal saya tidak melakukan apa-apa",2026-02-17 23:22:57,Account Issue
marwah suryadi,5,"ya, ok, bagus",2026-02-17 23:13:50,Praise & Gratitude
Hengki Wanda,5,okeee,2026-02-17 23:13:20,Unlabeled/Noise
Eren Nazilla,2,"belanja di tiktok shop lama banget pengirimannya, kurir di chat sok ngartis, berkali-kali laporan tetap aja lama progresnya, pesanan gak diantar antar, csnya juga jawabannya template, statusnya udah diterima tapi barangnya gak sampai",2026-02-17 23:12:27,Feature Complaint/Request
yumi,1,kenapa pembagian fiturnya gak adil?!,2026-02-17 23:11:23,Feature Complaint/Request
Perintis Story,5,kre and mantap,2026-02-17 23:10:36,Praise & Gratitude
Agung Santoso,5,aplikasinya bgus,2026-02-17 23:10:27,Unlabeled/Noise
Rayyan rayyan,5,"sangat menyenangkan bagi saya bisa mengisi waktu luang dengan video bermanfaat dan juga bisa dipakai untuk berbisnis pokonya sangat bagus , good joob🤩👍👍",2026-02-17 23:08:56,Monetization/Earning
aziz Khoirul mustofa,1,"oi, kalo buat apk jangan banyak peraturan nya lah, masa dikit"" kena pelanggaran, padahal gua ga ngomong kasar dan dll, mana streak gw dah banyak, gabisa ngirim pesan, aduhhh payah",2026-02-17 23:05:38,Unlabeled/Noise
Aiyyub333 Bandaaceh,5,🤗🤗,2026-02-17 23:05:28,Unlabeled/Noise
Toni Opoy,1,knpa tiktok ga bisa liat tmn sedang live di kontak masuk notifikasi,2026-02-17 23:02:09,Account Issue
weedee 401,1,BARESKRIM MABES POLRI.. TIKTOK SEKARANG KERJASAMA DENGAN SITUS JUDOL !!! MOHON DIPROSES JUDOL DI TIKTOK !!! IKLAN ISINYA JUDOL SEMUA DITIKTOK..,2026-02-17 23:00:13,Unlabeled/Noise
WANGLING H12H13,5,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,2026-02-17 22:58:27,Unlabeled/Noise
Eka Wahyu,3,gatau akhir akhir ini suka keluar sendiri dari aplikasinya,2026-02-17 22:55:16,Technical Bug/Crash
Lestari Aza,1,selalu ngelag dan tidak menanggapi,2026-02-17 22:55:03,Performance Issue
Muhammad Mirza,5,"Tolong ini kenapa punya gua ga bisa melihat profile orang-orang yang gw follow, ga bisa di pencet profile daftar orang-orang yang gua follow, tolong di apakan dulu itu biar ga apa kali",2026-02-17 22:54:51,Account Issue
Sri,1,sumpah gkk bagus bgtt nih tiktok,2026-02-17 22:49:43,Praise & Gratitude
Chenry julian Mangera,5,Tolong developer tiktok nya di perbaiki Jangan ngelag sama jangan sampai hp saya mati tolong di perbaiki ya,2026-02-17 22:47:22,Performance Issue
Rafi Wifa,2,"tiba"" akun aku kenak pl padahal gak ngapain ngapain",2026-02-17 22:47:22,Account Issue
Aditya Prayoga,5,min mana potongan harga,2026-02-17 22:45:41,Monetization/Earning
cipto 3711,5,sangata bagus tapi kenapa akunku tidak bisa merubah foto ya malah harus menggunakan kamera sendiri baru bisa?? aku. sudah update tetapi sama saja,2026-02-17 22:45:28,Account Issue
Abdurrorrr yoi,5,bagus,2026-02-17 22:43:03,Praise & Gratitude
jafar japot,2,ngelag,2026-02-17 22:40:27,Performance Issue
Music n Lyric,1,"tiktok konyol, aturan gak jelas, sekarang malah makin ribet",2026-02-17 22:38:48,Unlabeled/Noise
Rinda seviyanti,5,bagus dan bisa terhibur,2026-02-17 22:33:54,Praise & Gratitude
Muhammad Harun,5,keren mamfaat,2026-02-17 22:33:35,Unlabeled/Noise
Windisahira12 Sahiraazhar,1,download nya lama,2026-02-17 22:32:42,Unlabeled/Noise
keylaa,5,bagus,2026-02-17 22:32:28,Praise & Gratitude
Azura38 Ibzura,5,dah bagus tapi klok dah ada event mesti pilih kasih gak semua yang punya tiktok bisa contohnya sekarang potongan harga,2026-02-17 22:31:44,Monetization/Earning
Jihan Jihan2345,1,"suka bikin story sendiri, tiba tiba banget semaunya apk nya sumpaa yaa, kadang yang ada di draft di bikin story, bikin malu bgt plss, apk nya kok gini ya??",2026-02-17 22:28:47,Feature Complaint/Request
Kayim Min29,5,sangat berguna bagi kreator dan yang mempunyai bakat di media sosial,2026-02-17 22:27:15,Unlabeled/Noise
Rere Sianturi,1,"gk bagus ada lag nya klo buat filter malah nge-stuck atau gk bisa gerak udah diulang ulang, ada suaranya walaupun udah kelar dari tiktok. sangat resah gk sukaa",2026-02-17 22:27:05,Performance Issue
Charlotte Yuá,5,apk nya g baik bisa gigit org pake kaki,2026-02-17 22:26:13,Unlabeled/Noise
Abdull Dudu,1,apk nya jadi sarang judol jadi MLS buat bukak tiktok lagi,2026-02-17 22:25:40,Performance Issue
ILHAM ULLAH,5,Merasa terhibur dan saya sangat suka dan puas berita informasi dan mendapatkan wawasan yang lebih besar. cuma akunya live konten tidak terlalu percaya diri hehe🙏😁,2026-02-17 22:25:39,Account Issue
Aisyah Rini,2,"Saya sudah bertahun-tahun menggunakan apk ini dan saya selalu update apabila ada pembaruan apk,tapi kali ini saya semakin bingung karena semakin saya sering update semakin ngebug dan error apk nya, seperti yang saya alami saat ini,saat saya masuk ke apk tak berselang lama beberapa detik otomatis terkeluar dari apk,kalau 1 atau sampe 3 kali masih dalam batas wajar,tapi ini terlalu sering saat saya ingin scroll,post,dan lainnya,tolong diatasi bug nya yah,terimakasih 🙏🙏",2026-02-17 22:23:31,Technical Bug/Crash
Arsyi Yusuf rahmat,2,"maaf min, toko tiktok shop udah ad tapi gak bisa beli d batasi umur padahal yang biasa beli pesan itu ibuku umurnya 45th, gimana dong min jadi gak bisa beli d tiktok shop, tolong d perbaiki..... trimakasih 🙏",2026-02-17 22:23:01,Feature Complaint/Request
Imma Mhdhar,5,"aplikasi yang bagus buat nyari referensi apapun itu, good tiktok 😁",2026-02-17 22:21:30,Praise & Gratitude
Selena Lena,5,𝘀𝗲𝗿𝘂 𝗸𝗲𝘁𝗶𝗸𝗮 𝗯𝗼𝘀𝗲𝗻,2026-02-17 22:20:38,Unlabeled/Noise
Dirwan Dirwan,5,bagus,2026-02-17 22:20:10,Praise & Gratitude
Adji Prasojo,5,sangat bagus,2026-02-17 22:19:02,Praise & Gratitude
Kanti Kanti,5,tolong untuk tiktok bug nya di kurangin☺ tapi apk nya bagus 👍,2026-02-17 22:17:29,Technical Bug/Crash
Nazria Syaa,5,"tolong tiktok ini kenapa ya kan waktu saya buka aplikasi nya ko gabisa terus aja muncul ""coba lagi"" padahal wifi lancar terus pas udah di bersihin cache masih tetap terus nyoba login di akun yang lain ga bisa,saya juga udah coba uninstall terus download lagi sampe udah tiga kali tapi malah susah login udah bikin akun baru juga tetep susah pas udah bisa login tampilan nya jadi tampilan yang lama terus ga ada tiktok shop nya udah di update juga tetap ga muncul",2026-02-17 22:17:20,Account Issue
Armani Fitri,5,bagus,2026-02-17 22:17:00,Praise & Gratitude
Elmo Armagan,5,Sangat bagus,2026-02-17 22:16:56,Praise & Gratitude
Pramadyo Hadi,4,tak dpt di buka,2026-02-17 22:14:44,Unlabeled/Noise
Hp Tolol,1,udah gak kaya dulu,2026-02-17 22:12:44,Unlabeled/Noise
Marsidi Marsidi,4,ok,2026-02-17 22:12:02,Unlabeled/Noise
meyilani putri,5,apk bagus,2026-02-17 22:11:20,Praise & Gratitude
Asep Satrya,5,ok,2026-02-17 22:10:14,Unlabeled/Noise
Ary Anto,2,apa apaan bjir mau daftar kirim kode gak ada2,2026-02-17 22:09:43,Account Issue
Tariq Lambert,1,"banyaj orang jadinya standart tikrok, dan tempat perselingkuhan, hapus ini apk",2026-02-17 22:08:57,Unlabeled/Noise
Maryanto Maryanto,5,puas dan menghibur,2026-02-17 22:08:42,Unlabeled/Noise
Dewina Inha,1,udah lm oke ini aplikasi tpi akhir² ini selalu bikin jengkel selalu keluar terus apknya jga ngeleg sistem TDK menanggapi,2026-02-17 22:08:17,Performance Issue
Julio Aliahkenzo,1,byk anak anak yang gajelas,2026-02-17 22:08:12,General Request/Complaint
Samad 77,4,ok,2026-02-17 22:07:41,Unlabeled/Noise
tito Prasetyo,5,Sangat Bagus sekali,2026-02-17 22:06:40,Praise & Gratitude
Qory Assegaf,1,lelet banget,2026-02-17 22:06:14,Performance Issue
Alityaa Khasanah,3,"ini aplikasi saya apresiasi sangat bagus dan berguna banget, namun saya itu user tiktok yang sering copot papang karna kadang ga ke pakai, ketika saya download lagi selalu saja ada bug, misalnya yang saya alami hari ini nyaitu ketika saya download dan mau bikin vidio tiktok, tampilannya itu seperti tiktok lite padahal saya download nya tiktok biasa, dan beberapa alat seperti untuk mengedit vidio di tiktok itu iuga ilang dan bentuk foto di tiktoknya juga kotak tidak seperti biasanya.",2026-02-17 22:06:11,Technical Bug/Crash
Kamila Billah,4,gak bisa di buka knp ya?,2026-02-17 22:06:02,Unlabeled/Noise
Hidarman Man,5,memuaskan apl tiktok,2026-02-17 22:05:37,Unlabeled/Noise
Keyla Setyawan,1,"sebenernya bgs tpi update nya susah, memo penuh trs pdhl udh dibersihin",2026-02-17 22:05:17,Account Issue
Adveria Onecaina,3,aplikasinya bagus banget tapi klo buat akun tuh kayak susah banget gitu jadi kali ini aku kasih Bintan 3 dulu,2026-02-17 22:04:38,Account Issue
Muti'ah hanifatur rohmah,1,"sekarang ada event 100 perak tapi di akun tik tok saya tidak ada eventnya, sedangkan punya orang lain ada event nya dari babak 1 2 dan sekarang pun babak 3, sedangkan di akun saya tidak ada event 100 perak sama sekali dari awal babak 1 babak 2 sampai sekarang pun babak 3 gak muncul di akun saya. wahhhhhh parah gak adil tauuuu gimana si official nya kalau ngadain event tuh harus rataa adil nya 😤😤😤 event potong harga nya tidak muncul di akun saya tik tok shop",2026-02-17 22:02:09,Account Issue
Kacer Hitam,1,"knp tiba tiba tiba aplikasi tiktok sy ayg sudah berjalan eror, dan tiba tiba tidak memenuhi syarat apa mkas nya..tgl lahir yg sya masukan sudah benar namun tiktok Mlah menolak dan Tidka dapat mlihat stori ataupun vdio yg sudah sya upload. ??whay",2026-02-17 22:00:57,Account Issue
Rikzx Indo bola45,5,APLIKASI INI JUGA BISA MEMBUAT KITA BAHAGIA,2026-02-17 22:00:26,Unlabeled/Noise
Sask Tulen,5,Oke,2026-02-17 21:59:16,Unlabeled/Noise
z 7,4,我用TikTok，它经常自动退出，因为应用太占资源了。虽然它和Facebook很像，数据也差不多，但TikTok占用资源特别多。请重新优化一下，让它像Facebook那样轻量级。或许可以重新优化，增加一些更完善的功能，因为TikTok经常自动退出，而且运行卡顿，非常烦人。,2026-02-17 21:57:46,Unlabeled/Noise
yanz bule,5,mantap,2026-02-17 21:52:39,Praise & Gratitude
Mutmainna Iin,2,tiba ada notif hrs daftar ulang soal umur tdk sesuai pdhl sya dah umur 35,2026-02-17 21:49:55,Account Issue
PokerFace,1,"min tiktok punya ku error sejak kemarin error nya bisa melihat video tapi tidak bisa membaca komentar. sudah banyak cara dilakukan tetapi tidak berhasil dan kalau mau buka apapun pasti akan loading dan ujung ujungnya t""idak ada internet"". tolong min di benarkan",2026-02-17 21:49:47,Technical Bug/Crash
Reysha Zha,5,bagus tapi bisa di hek orang ak,2026-02-17 21:49:41,Praise & Gratitude
Arieff Khoy,1,tiktok tidak jelas tiba-tiba pesan langsung di hapus padahal belum pernah nge DM orang masa tiba tiba pelanggaran,2026-02-17 21:47:16,Unlabeled/Noise
Asman Maccateach,5,mantap,2026-02-17 21:47:14,Praise & Gratitude
adalahpokonya,5,bagus banget,2026-02-17 21:46:55,Praise & Gratitude
Alpa Strike,2,assalamu'alaikum maaf tolong developer tiktok kurangin mb aplikasi nya kasian yg HP nya ram2,2026-02-17 21:46:50,General Request/Complaint
Khalif Alip,5,Baik,2026-02-17 21:44:40,Unlabeled/Noise
yuansang_id ❷⓿⓿⓿,5,lah tiba-tiba ke uninstall sendiri,2026-02-17 21:43:29,Unlabeled/Noise
Uncle Harry,1,"halah.. komentar gua biasa aja, tapi di hapus mulu. yang laen komen yang sama juga gak tapi di hapus🤣🤣",2026-02-17 21:41:57,Feature Complaint/Request
Fortz FortzXZ,5,bagus👍,2026-02-17 21:41:09,Praise & Gratitude
Juanda putra,2,"KENAPA AKUN TIKTOK SAYA GABISA NGECHAT TEMAN SAYA, GABISA GIFT, KALAU SAYA CHAT ORANG YANG NGE LIVE, GA MUNCUL PESAN SAYA. PADAHAL UDAH UMUR 18 TAHUN, UDAH FOTO KTP TETAP GABISA",2026-02-17 21:41:08,Account Issue
Chalishakinanti,5,Sangat bagus,2026-02-17 21:39:59,Praise & Gratitude
Raja salman,5,luar biasa menguntungkan dan bisa membatu kehidupan untuk merubah ke hidupan,2026-02-17 21:38:26,Unlabeled/Noise
Sumedi Asbiantoro,5,vidio nya bagus dan fyp tapi aku pengen fyp tapi gak bisa 😭,2026-02-17 21:38:07,Praise & Gratitude
Susi Susanti,5,tiko ini bagus dan bikin penasaran,2026-02-17 21:35:45,Praise & Gratitude
Eliza Eliza,5,aku suka menggunakan TikTok,2026-02-17 21:35:03,Praise & Gratitude
assyfa Aura,5,seru bgttt pokoknya,2026-02-17 21:34:39,Praise & Gratitude
Juwita 04,1,"tolong di perbaiki , kenapa selalu kluar sendiri",2026-02-17 21:32:49,General Request/Complaint
Herlina Saputri,1,sakit hati tau kalo tiba tiba akun ilang,2026-02-17 21:32:33,Account Issue
nia punyaaalip,5,"bagus, tapi suka bug keluar keluar sendiri dari aplikasi, terus juga kalau di buka ga muncul vido cuma logo tiktok nya doang",2026-02-17 21:32:07,Technical Bug/Crash
OhMyBryzz,1,"tolong lah tiktok, kenapa fitur sosial seperti buka komentar setiap video yg lewat di fyp, chat orang, liat history tontonan, like, favorite, repost, dll itu loading terus, tapi pas nonton video yg fyp malah lancar gitu, selain yg nonton video doang malah ngelag banget gitu, padahal sinyal lancar lancar aja, saya buka Ig,yt,fb dan platform sosmed lainnya malah lancar, cuma tiktok doang nih yang bermasalah, tolong segera perbaiki bugnya, saya sangat kesal sekali sama tiktok ini",2026-02-17 21:31:48,Technical Bug/Crash
Canda Canda,5,sangat baguss,2026-02-17 21:30:48,Praise & Gratitude
mutiara.yuanita 06,4,tidak ada logo potong harga nya/event 100 perak,2026-02-17 21:30:46,Monetization/Earning
Laras Laras,2,lag,2026-02-17 21:29:17,Performance Issue
Siska Siska,5,aplikasi ini membuat saya merasa nyaman,2026-02-17 21:29:01,Unlabeled/Noise
Supono Pono,5,Sangat bagus,2026-02-17 21:27:08,Praise & Gratitude
Eka Putra,4,minta uodate trs,2026-02-17 21:25:14,Unlabeled/Noise
Dim Dimas,5,Bagus banget ni aplikasi buat ngehiburr,2026-02-17 21:24:52,Praise & Gratitude
jayusmanaja,1,"inii kenapaa yaaa tt aku ngebug terusss gabisa bukan komennn,bikin tt padhl wifi lancarrr",2026-02-17 21:22:18,Technical Bug/Crash
Kristina Sipayung,3,Kok aplikasi nya ga bisa di bukaaa 🙁,2026-02-17 21:22:09,Unlabeled/Noise
edi,1,sangat mengganggu iklan nya,2026-02-17 21:21:30,Unlabeled/Noise
Siduhu Zagoto,5,Terimakasih,2026-02-17 21:21:13,Praise & Gratitude
Amel Mel,5,tiktok aku suka ngeleg apalagi baru beberapa menit pakai tiba tiba keluar dari tiktok,2026-02-17 21:20:50,Performance Issue
Nazal Irzamega,1,jelek karena ada alat kesejahteraan gak bisa di matikan bukanya nambah sejahtera Malah nambah emosi,2026-02-17 21:19:49,General Request/Complaint
Berlian ARZK,5,bagus buat hiburan,2026-02-17 21:16:40,Praise & Gratitude
Bima farel,4,apik cuy,2026-02-17 21:15:45,Unlabeled/Noise
Adi Setia,5,kok bisa ga ada potongan harga nya ya di saya?,2026-02-17 21:14:00,Monetization/Earning
Qirana Nurul,1,iniiii aplikasi bagus banget tapiii di akuu nya kok gak ada postingan ulang yaaa udah ku otak atik jugaa tetep ajaa gak adaaaa☹️💔,2026-02-17 21:12:21,Praise & Gratitude
Ridho Akun bisnis,2,maaf ya min aku kasih bintang 2 soalnya akun ku kena spam like,2026-02-17 21:11:46,Account Issue
Fendi,1,tidak bisa di upgrade,2026-02-17 21:11:16,Unlabeled/Noise
Abdul Basith,5,bagus,2026-02-17 21:10:34,Praise & Gratitude
Rudi Yansah,1,wah canggih sekali😆,2026-02-17 21:10:25,Unlabeled/Noise
ali man,5,sangat bagus dan bisa cari teman yang beda kota,2026-02-17 21:07:28,Praise & Gratitude
Apria Putra,5,agak enakan scrol tiktok akun aku gak bisa lihat yang aku posting gimana ini mohon di balas,2026-02-17 21:07:06,Account Issue
Mex Lim,5,terbaik,2026-02-17 21:06:42,Unlabeled/Noise
Aulia Naura,3,"Kenapa semenjak diperbarui tiktok agak lemot, padahal jaringan bagus, dipakai di semua sosmed bisa dan lancar. Tetapi kenapa di tiktok bertuliskan ""tidak ada internet"" sudah coba uninstall lalu Install tapi tetap sama. Tidak bisa buka komentar selama 2 hari, padahal jaringan bagus, mohon untuk tiktok segera diperbaiki kembali. Terimakasih 🙏🏻",2026-02-17 21:06:19,Performance Issue
Fatir,5,Bagus nih buat orang yang nganggur,2026-02-17 21:03:12,Praise & Gratitude
Dika Andika,5,saya bantu cek ya kak mengurangi kenyamanannya,2026-02-17 21:02:47,Unlabeled/Noise
Fauzia Jamilah,3,susah daftar akun,2026-02-17 21:02:06,Account Issue
Yulia Oficial,5,bagus memuaskan CMN buat Pitur terbaru nya GK muncul di aku,2026-02-17 21:01:25,Praise & Gratitude
Peles kogoya,1,fitur belum bisa keluar live pengikut banyak tapi live gak muncul ini,2026-02-17 21:01:21,Feature Complaint/Request
